"","mese","mese_2","stagione","pct_insuff_resp","weighted_mean_stringency_index"
"1",1,5,"2020 - 2021",15.2631578947368,74.7688802488336
"2",1,5,"2021 - 2022",25,53.0997297297297
"3",1,5,"2022 - 2023",43.1893687707641,19.24256
"4",2,6,"2020 - 2021",13.1818181818182,75.4521568627451
"5",2,6,"2021 - 2022",11.2994350282486,48.9678571428571
"6",2,6,"2022 - 2023",26.271186440678,18.12685
"7",3,7,"2020 - 2021",14.7540983606557,79.4164520048603
"8",3,7,"2021 - 2022",15,43.6883529411765
"9",3,7,"2022 - 2023",16.1702127659574,15.51
"10",4,8,"2020 - 2021",14.0350877192982,78.7480752212389
"11",4,8,"2021 - 2022",13.8888888888889,36.4435087719298
"12",4,8,"2022 - 2023",11.4035087719298,12.51
"13",5,9,"2020 - 2021",15.8536585365854,70.676204379562
"14",5,9,"2021 - 2022",12.2641509433962,22.52
"15",9,1,"2020 - 2021",11.0619469026549,66.3432227488152
"16",9,1,"2021 - 2022",15.3846153846154,57.3423333333333
"17",9,1,"2022 - 2023",12.1212121212121,15.51
"18",10,2,"2020 - 2021",20.2898550724638,68.6498775510204
"19",10,2,"2021 - 2022",34,52.4167741935484
"20",10,2,"2022 - 2023",19.2513368983957,15.51
"21",11,3,"2020 - 2021",12.9943502824859,82.1397350993377
"22",11,3,"2021 - 2022",46.5189873417722,49.8282352941176
"23",11,3,"2022 - 2023",27.5,18.1268511685117
"24",12,4,"2020 - 2021",12.3456790123457,80.9111821705426
"25",12,4,"2021 - 2022",33.3333333333333,50.9269387755102
"26",12,4,"2022 - 2023",55.2173913043478,19.2425622254758
"27",1,5,"Mean 2011 - 2019",37.6092673842381,0
"28",2,6,"Mean 2011 - 2019",34.019217080263,0
"29",3,7,"Mean 2011 - 2019",28.1294792949861,0
"30",4,8,"Mean 2011 - 2019",24.9288032322416,0
"31",5,9,"Mean 2011 - 2019",21.6004148751261,0
"32",9,1,"Mean 2011 - 2019",20.5430291255005,0
"33",10,2,"Mean 2011 - 2019",22.9385321777534,0
"34",11,3,"Mean 2011 - 2019",23.9611803708707,0
"35",12,4,"Mean 2011 - 2019",37.6339444314173,0
